location,price,bill_of_sale,mortgage,repair,area_m2,number_of_room,floor,price_per_m2
Nərimanov r.,183000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,55.0,2,14,2262.3388868301045
Nəriman Nərimanov m.,230000,Çıxarış var,İpoteka var,Təmirli,82.0,2,11,2350.35568779757
Nəriman Nərimanov m.,285000,Çıxarış var,İpoteka var,Təmirli,150.0,3,17,2350.35568779757
Nərimanov r.,295000,Çıxarış var,İpoteka var,Təmirli,128.0,3,15,2262.3388868301045
Nərimanov r.,99000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,86.0,2,7,2262.3388868301045
Nərimanov r.,409400,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,178.0,4,16,2262.3388868301045
Nərimanov r.,325000,Çıxarış var,Ipoteka yoxdur,Təmirli,135.0,4,19,2262.3388868301045
Nərimanov r.,260000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,130.0,3,6,2262.3388868301045
Nərimanov r.,259840,Çıxarış var,Ipoteka yoxdur,Təmirsiz,112.0,3,12,2262.3388868301045
Nəriman Nərimanov m.,262650,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,103.0,3,3,2350.35568779757
Nəriman Nərimanov m.,173400,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,68.0,2,3,2350.35568779757
Nərimanov r.,220000,Çıxarış var,İpoteka var,Təmirli,70.0,3,2,2262.3388868301045
Nərimanov r.,285000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,206.0,3,8,2262.3388868301045
Nəriman Nərimanov m.,260000,Çıxarış var,İpoteka var,Təmirli,125.0,3,17,2350.35568779757
Nərimanov r.,150000,Çıxarış var,İpoteka var,Təmirli,60.0,2,6,2262.3388868301045
Nəriman Nərimanov m.,192000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,83.4,2,12,2350.35568779757
Nəriman Nərimanov m.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,125.0,3,12,2350.35568779757
Nərimanov r.,193000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,105.0,2,8,2262.3388868301045
Nəriman Nərimanov m.,414000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,230.0,4,5,2350.35568779757
Nərimanov r.,188000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.0,3,17,2262.3388868301045
Nəriman Nərimanov m.,218000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,106.0,2,2,2350.35568779757
Gənclik m.,226000,Çıxarış var,İpoteka var,Təmirsiz,115.0,3,14,2404.484840820714
Nərimanov r.,269000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,170.0,4,14,2262.3388868301045
Gənclik m.,266000,Çıxarış var,İpoteka var,Təmirsiz,140.0,3,10,2404.484840820714
Nərimanov r.,248000,Çıxarış var,İpoteka var,Təmirli,145.0,3,7,2262.3388868301045
Gənclik m.,225000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,119.0,2,11,2404.484840820714
Nərimanov r.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,13,2262.3388868301045
Nərimanov r.,335000,Çıxarış var,Ipoteka yoxdur,Təmirli,125.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,314000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,136.0,3,10,2350.35568779757
Nəriman Nərimanov m.,325000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,140.0,3,12,2350.35568779757
Nəriman Nərimanov m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,104.0,3,17,2350.35568779757
Nəriman Nərimanov m.,180000,Çıxarış var,İpoteka var,Təmirli,75.0,2,2,2350.35568779757
Nərimanov r.,207000,Çıxarış var,İpoteka var,Təmirli,74.0,2,7,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış var,Ipoteka yoxdur,Təmirli,108.0,3,14,2350.35568779757
Gənclik m.,233000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,117.0,2,6,2404.484840820714
Nəriman Nərimanov m.,130000,Çıxarış var,Ipoteka yoxdur,Təmirli,45.0,2,9,2350.35568779757
Nəriman Nərimanov m.,265200,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,102.0,3,2,2350.35568779757
Gənclik m.,300000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,161.1,3,5,2404.484840820714
Nəriman Nərimanov m.,168000,Çıxarış var,Ipoteka yoxdur,Təmirli,62.0,2,10,2350.35568779757
Nəriman Nərimanov m.,178000,Çıxarış var,İpoteka var,Təmirli,75.0,2,15,2350.35568779757
Nərimanov r.,169500,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,97.0,3,7,2262.3388868301045
Nərimanov r.,90000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,50.0,2,16,2262.3388868301045
Nəriman Nərimanov m.,335000,Çıxarış var,İpoteka var,Təmirli,150.0,4,5,2350.35568779757
Gənclik m.,410000,Çıxarış var,İpoteka var,Təmirli,180.0,4,14,2404.484840820714
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,57.0,2,4,2350.35568779757
Gənclik m.,454000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,220.0,4,14,2404.484840820714
Nəriman Nərimanov m.,235000,Çıxarış var,İpoteka var,Təmirli,82.0,3,17,2350.35568779757
Nəriman Nərimanov m.,470000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,140.0,3,15,2350.35568779757
Nərimanov r.,325000,Çıxarış var,Ipoteka yoxdur,Təmirli,159.0,3,15,2262.3388868301045
Nəriman Nərimanov m.,181500,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,78.0,2,16,2350.35568779757
Nəriman Nərimanov m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,94.0,2,3,2350.35568779757
Nəriman Nərimanov m.,203000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,83.0,2,15,2350.35568779757
Nərimanov r.,217000,Çıxarış var,Ipoteka yoxdur,Təmirli,112.0,3,15,2262.3388868301045
Nəriman Nərimanov m.,265200,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,103.0,3,2,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,12,2350.35568779757
Nəriman Nərimanov m.,267000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,157.0,3,4,2350.35568779757
Nəriman Nərimanov m.,254000,Çıxarış var,İpoteka var,Təmirli,106.0,3,13,2350.35568779757
Nəriman Nərimanov m.,295000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,92.0,3,16,2350.35568779757
Nəriman Nərimanov m.,314180,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,136.6,3,10,2350.35568779757
Nərimanov r.,409400,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,178.0,4,16,2262.3388868301045
28 May m.,167000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,60.0,2,4,2292.720682644982
Nərimanov r.,173000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,65.0,2,2,2262.3388868301045
Nərimanov r.,239000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,92.0,3,6,2262.3388868301045
Nəriman Nərimanov m.,206000,Çıxarış var,Ipoteka yoxdur,Təmirli,86.0,3,7,2350.35568779757
Nərimanov r.,390000,Çıxarış var,Ipoteka yoxdur,Təmirli,155.0,4,8,2262.3388868301045
Nərimanov r.,265000,Çıxarış var,İpoteka var,Təmirsiz,126.0,3,7,2262.3388868301045
Gənclik m.,375000,Çıxarış var,Ipoteka yoxdur,Təmirli,153.0,3,12,2404.484840820714
Nərimanov r.,339000,Çıxarış var,İpoteka var,Təmirsiz,210.0,4,8,2262.3388868301045
Nəriman Nərimanov m.,450000,Çıxarış var,Ipoteka yoxdur,Təmirli,165.0,4,7,2350.35568779757
Nərimanov r.,217000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,80.0,3,8,2262.3388868301045
Nərimanov r.,380000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,137.0,3,6,2262.3388868301045
Nəriman Nərimanov m.,311000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,122.0,3,14,2350.35568779757
Nərimanov r.,219000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,90.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,249000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,78.0,2,5,2350.35568779757
Nərimanov r.,195000,Çıxarış yoxdur,İpoteka var,Təmirli,62.0,2,10,2262.3388868301045
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,112.0,3,12,2350.35568779757
Gənclik m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,95.0,2,4,2404.484840820714
Nərimanov r.,310000,Çıxarış var,Ipoteka yoxdur,Təmirli,240.0,4,12,2262.3388868301045
Nəriman Nərimanov m.,335000,Çıxarış var,Ipoteka yoxdur,Təmirli,180.0,4,8,2350.35568779757
Nəriman Nərimanov m.,133000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,78.2,1,8,2350.35568779757
Nəriman Nərimanov m.,251000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,93.0,2,15,2350.35568779757
Nərimanov r.,312200,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,111.5,3,6,2262.3388868301045
Nərimanov r.,312000,Çıxarış var,Ipoteka yoxdur,Təmirli,160.0,4,13,2262.3388868301045
Nərimanov r.,487284,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,232.0,4,7,2262.3388868301045
Nərimanov r.,250000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,114.0,2,8,2262.3388868301045
Nəriman Nərimanov m.,360000,Çıxarış var,Ipoteka yoxdur,Təmirli,200.0,4,17,2350.35568779757
Nəriman Nərimanov m.,450000,Çıxarış var,Ipoteka yoxdur,Təmirli,180.0,4,9,2350.35568779757
28 May m.,288000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,82.0,2,7,2292.720682644982
Nəriman Nərimanov m.,360000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,129.0,3,10,2350.35568779757
Nəriman Nərimanov m.,230000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,160.0,4,9,2350.35568779757
Gənclik m.,260000,Çıxarış var,İpoteka var,Təmirli,120.0,3,4,2404.484840820714
Nəriman Nərimanov m.,220000,Çıxarış var,İpoteka var,Təmirli,97.0,2,10,2350.35568779757
Nərimanov r.,180000,Çıxarış var,İpoteka var,Təmirli,74.0,2,4,2262.3388868301045
28 May m.,138000,Çıxarış var,Ipoteka yoxdur,Təmirli,55.0,2,2,2292.720682644982
Nəriman Nərimanov m.,147000,Çıxarış var,Ipoteka yoxdur,Təmirli,77.0,2,16,2350.35568779757
Nəriman Nərimanov m.,275000,Çıxarış var,İpoteka var,Təmirli,180.0,3,12,2350.35568779757
Gənclik m.,222000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,96.7,2,15,2404.484840820714
Nəriman Nərimanov m.,159000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,55.0,2,5,2350.35568779757
Nərimanov r.,259900,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,11,2262.3388868301045
Nəriman Nərimanov m.,135000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,67.0,1,9,2350.35568779757
28 May m.,225000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,80.0,3,8,2292.720682644982
Nəriman Nərimanov m.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
Nəriman Nərimanov m.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,57.0,2,12,2350.35568779757
Nəriman Nərimanov m.,365000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,8,2350.35568779757
Gənclik m.,225000,Çıxarış yoxdur,İpoteka var,Təmirsiz,119.0,2,11,2404.484840820714
Nərimanov r.,194700,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,97.4,2,7,2262.3388868301045
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,61.0,2,3,2404.484840820714
Nəriman Nərimanov m.,328800,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,137.0,3,6,2350.35568779757
Nəriman Nərimanov m.,297330,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,181.4,4,6,2350.35568779757
Gənclik m.,210000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,90.0,2,4,2404.484840820714
Gənclik m.,392000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,178.0,4,10,2404.484840820714
Nərimanov r.,199000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,126.0,3,11,2262.3388868301045
Nəriman Nərimanov m.,270000,Çıxarış var,Ipoteka yoxdur,Təmirli,82.0,3,5,2350.35568779757
Nəriman Nərimanov m.,390000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,200.0,4,2,2350.35568779757
Nəriman Nərimanov m.,310000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,240.0,4,12,2350.35568779757
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,80.0,2,15,2292.720682644982
Dərnəgül m.,446000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,210.0,4,10,2143.023642504547
Nəriman Nərimanov m.,119000,Çıxarış var,İpoteka var,Təmirli,35.0,2,6,2350.35568779757
Nərimanov r.,188000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.0,3,17,2262.3388868301045
Nərimanov r.,400000,Çıxarış var,Ipoteka yoxdur,Təmirli,176.0,4,2,2262.3388868301045
Nəriman Nərimanov m.,410000,Çıxarış var,Ipoteka yoxdur,Təmirli,130.0,3,4,2350.35568779757
Nəriman Nərimanov m.,255000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,96.0,3,13,2350.35568779757
Gənclik m.,246000,Çıxarış var,İpoteka var,Təmirsiz,94.0,2,14,2404.484840820714
Nərimanov r.,415000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,190.0,4,4,2262.3388868301045
Gənclik m.,157000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,65.0,2,5,2404.484840820714
Nəriman Nərimanov m.,135000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,65.6,1,12,2350.35568779757
Nəriman Nərimanov m.,350000,Çıxarış var,İpoteka var,Təmirli,170.0,4,17,2350.35568779757
Nərimanov r.,270000,Çıxarış var,İpoteka var,Təmirli,115.0,3,15,2262.3388868301045
Nərimanov r.,145000,Çıxarış var,İpoteka var,Təmirli,62.0,2,12,2262.3388868301045
Nərimanov r.,327000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,103.0,3,14,2262.3388868301045
Nəriman Nərimanov m.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,78.0,2,7,2350.35568779757
Nəriman Nərimanov m.,148000,Çıxarış var,İpoteka var,Təmirli,65.0,2,3,2350.35568779757
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Nərimanov r.,235660,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,117.8,3,5,2262.3388868301045
Nərimanov r.,194700,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,97.4,2,7,2262.3388868301045
Nərimanov r.,285000,Çıxarış var,Ipoteka yoxdur,Təmirli,168.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,87.0,2,14,2350.35568779757
Gənclik m.,195000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,5,2404.484840820714
Nərimanov r.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,58.0,2,12,2262.3388868301045
Nəriman Nərimanov m.,375000,Çıxarış var,Ipoteka yoxdur,Təmirli,147.0,3,10,2350.35568779757
Nəriman Nərimanov m.,135000,Çıxarış var,Ipoteka yoxdur,Təmirli,62.0,2,8,2350.35568779757
Nəriman Nərimanov m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,150.0,3,11,2350.35568779757
Nəriman Nərimanov m.,154000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,67.0,2,5,2350.35568779757
Nəriman Nərimanov m.,295500,Çıxarış var,Ipoteka yoxdur,Təmirli,157.0,3,16,2350.35568779757
Nəriman Nərimanov m.,230000,Çıxarış var,Ipoteka yoxdur,Təmirli,120.0,3,21,2350.35568779757
Nərimanov r.,297850,Çıxarış var,Ipoteka yoxdur,Təmirsiz,161.0,3,5,2262.3388868301045
Nərimanov r.,297850,Çıxarış var,Ipoteka yoxdur,Təmirli,161.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,216300,Çıxarış var,İpoteka var,Təmirsiz,105.0,3,12,2350.35568779757
28 May m.,220000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,111.0,3,11,2292.720682644982
Nəriman Nərimanov m.,256000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,103.0,3,10,2350.35568779757
Gənclik m.,240000,Çıxarış var,İpoteka var,Təmirsiz,130.0,3,12,2404.484840820714
Nəriman Nərimanov m.,282000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,182.0,4,8,2350.35568779757
Nərimanov r.,195000,Çıxarış var,İpoteka var,Təmirli,68.0,2,9,2262.3388868301045
Nəriman Nərimanov m.,298000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,140.0,3,12,2350.35568779757
Nəriman Nərimanov m.,329000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,137.0,3,6,2350.35568779757
Nəriman Nərimanov m.,240000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,98.0,2,3,2350.35568779757
Nəriman Nərimanov m.,210000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,150.0,3,16,2350.35568779757
Nəriman Nərimanov m.,308000,Çıxarış var,İpoteka var,Təmirsiz,154.0,3,9,2350.35568779757
Nəriman Nərimanov m.,297330,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,181.4,4,6,2350.35568779757
Nəriman Nərimanov m.,145000,Çıxarış var,İpoteka var,Təmirli,68.0,2,3,2350.35568779757
Nərimanov r.,385000,Çıxarış var,İpoteka var,Təmirli,145.2,3,11,2262.3388868301045
Nərimanov r.,187500,Çıxarış var,İpoteka var,Təmirli,86.0,3,3,2262.3388868301045
Nərimanov r.,375000,Çıxarış var,Ipoteka yoxdur,Təmirli,162.0,4,4,2262.3388868301045
